FLOC,Latitude,Longitude,Division,County,Town,Road,Line,Pole
9302-L0247-0447-0306-ED00065,43.24747733,-77.62964943,Central,MONROE,GREECE,HAMPTON BLVD,753,F1
9302-L0247-0447-0306-ED00066,43.24767801,-77.62965314,Central,MONROE,GREECE,HAMPTON BLVD,753,G
9302-L0247-0447-0306-ED00069,43.24808867,-77.62962113,Central,MONROE,GREECE,HAMPTON BLVD,753,H
9302-L0247-0447-0306-ED00070,43.24848884,-77.62960261,Central,MONROE,GREECE,HAMPTON BLVD,753,I
9302-L0247-0447-0306-ED00071,43.24889857,-77.62957826,Central,MONROE,GREECE,HAMPTON BLVD,753,J
9302-L0247-0447-0306-ED00072,43.24932048,-77.62958281,Central,MONROE,GREECE,HAMPTON BLVD,753,K
9302-L0247-0447-0306-ED00073,43.2495548,-77.62954412,Central,MONROE,GREECE,HAMPTON BLVD,753,L
9302-L0247-0447-0306-ED00101,43.24690319,-77.62867442,Central,MONROE,GREECE,HAMPTON BLVD,4753,13
9302-L0247-0447-0306-MH00100,43.24998822,-77.62859811,Central,MONROE,GREECE,HAMPTON BLVD,4753,1847.16
9302-L0247-0447-0339-ED00013,43.24401727,-77.64090279,Central,MONROE,GREECE,HOWEDALE DR,5347,14F
9302-L0247-0447-0339-ED00016,43.24249163,-77.64130256,Central,MONROE,GREECE,HOWEDALE DR,5347,14A
9302-L0247-0447-0339-ED00017,43.24248687,-77.641018,Central,MONROE,GREECE,HOWEDALE DR,5347,14B
9302-L0247-0447-0339-ED00018,43.24284858,-77.64099676,Central,MONROE,GREECE,HOWEDALE DR,5347,14C
9302-L0247-0447-0339-ED00019,43.24325884,-77.64096227,Central,MONROE,GREECE,HOWEDALE DR,5347,14D
9302-L0247-0447-0339-ED00020,43.24363085,-77.64093227,Central,MONROE,GREECE,HOWEDALE DR,5347,14E
9302-L0247-0447-0339-ED00021,43.24438222,-77.64092013,Central,MONROE,GREECE,HOWEDALE DR,5347,14G
9302-L0247-0447-0339-ED00022,43.24475403,-77.64090127,Central,MONROE,GREECE,HOWEDALE DR,5347,14H
9302-L0247-0447-0339-ED00023,43.24477035,-77.64061469,Central,MONROE,GREECE,HOWEDALE DR,5347,14J
9302-L0247-0447-0339-ED00024,43.24488644,-77.64090051,Central,MONROE,GREECE,HOWEDALE DR,5347,14K
9302-L0247-0447-0389-ED00012,43.24168929,-77.63098883,Central,MONROE,GREECE,LAKE BREEZE RD,5990,9
9302-L0247-0447-0406-ED00005,43.24250539,-77.64494276,Central,MONROE,GREECE,LAWSON RD,192,11C
9302-L0247-0447-0406-ED00006,43.24247634,-77.64450783,Central,MONROE,GREECE,LAWSON RD,192,11D
9302-L0247-0447-0406-ED00007,43.24250994,-77.64417309,Central,MONROE,GREECE,LAWSON RD,192,11E
9302-L0247-0447-0419-ED00003,43.24706482,-77.63879624,Central,MONROE,GREECE,LITTLE CREEK CIR,6414,2
9302-L0247-0447-0420-ED00013,43.24558549,-77.64086803,Central,MONROE,GREECE,LITTLE CREEK DR,415,M
9302-L0247-0447-0420-ED00014,43.24562142,-77.64050593,Central,MONROE,GREECE,LITTLE CREEK DR,415,N
9302-L0247-0447-0420-ED00015,43.24565721,-77.64010663,Central,MONROE,GREECE,LITTLE CREEK DR,415,O
9302-L0247-0447-0420-ED00016,43.24564881,-77.63953704,Central,MONROE,GREECE,LITTLE CREEK DR,415,P
9302-L0247-0447-0420-ED00017,43.24563959,-77.63897774,Central,MONROE,GREECE,LITTLE CREEK DR,415,Q
9302-L0247-0447-0420-ED00018,43.24564058,-77.64122283,Central,MONROE,GREECE,LITTLE CREEK DR,415,R
9302-L0247-0447-0420-ED00019,43.24596927,-77.64048688,Central,MONROE,GREECE,LITTLE CREEK DR,6415,S
9302-L0247-0447-0420-ED00020,43.24624648,-77.64006167,Central,MONROE,GREECE,LITTLE CREEK DR,415,T
9302-L0247-0447-0420-ED00021,43.24656989,-77.63974533,Central,MONROE,GREECE,LITTLE CREEK DR,6415,U
9302-L0247-0447-0420-ED00022,43.24682049,-77.63950976,Central,MONROE,GREECE,LITTLE CREEK DR,415,V
9302-L0247-0447-0420-ED00023,43.24708483,-77.63930557,Central,MONROE,GREECE,LITTLE CREEK DR,415,W
9302-L0247-0447-0420-ED00024,43.24576588,-77.64109259,Central,MONROE,GREECE,LITTLE CREEK DR,415,Y
9302-L0247-0447-0451-ED00002,43.24202615,-77.63470942,Central,MONROE,GREECE,MARWOOD RD,6984,1
9302-L0247-0447-0451-ED00003,43.24519388,-77.63464591,Central,MONROE,GREECE,MARWOOD RD,6984,10
9302-L0247-0447-0451-ED00004,43.24544787,-77.63467591,Central,MONROE,GREECE,MARWOOD RD,6984,11
9302-L0247-0447-0451-ED00013,43.24244369,-77.63475082,Central,MONROE,GREECE,MARWOOD RD,6984,2
9302-L0247-0447-0451-ED00024,43.24256291,-77.63463394,Central,MONROE,GREECE,MARWOOD RD,6984,2A
9302-L0247-0447-0451-ED00025,43.24274247,-77.63474269,Central,MONROE,GREECE,MARWOOD RD,6984,3
9302-L0247-0447-0451-ED00027,43.24301058,-77.63472087,Central,MONROE,GREECE,MARWOOD RD,6984,4
9302-L0247-0447-0451-ED00028,43.24326511,-77.63472221,Central,MONROE,GREECE,MARWOOD RD,6984,5
9302-L0247-0447-0451-ED00029,43.2433979,-77.63461489,Central,MONROE,GREECE,MARWOOD RD,6984,5A
9302-L0247-0447-0451-ED00030,43.24352405,-77.63469928,Central,MONROE,GREECE,MARWOOD RD,6984,6
9302-L0247-0447-0451-ED00031,43.24380685,-77.63470574,Central,MONROE,GREECE,MARWOOD RD,6984,6A
9302-L0247-0447-0451-ED00032,43.24408803,-77.6346869,Central,MONROE,GREECE,MARWOOD RD,6984,7
9302-L0247-0447-0451-ED00034,43.24433648,-77.63471062,Central,MONROE,GREECE,MARWOOD RD,6984,7A1
9302-L0247-0447-0451-ED00035,43.24462389,-77.63469905,Central,MONROE,GREECE,MARWOOD RD,6984,8
9302-L0247-0447-0451-ED00036,43.24446366,-77.63457756,Central,MONROE,GREECE,MARWOOD RD,6984,8A
9302-L0247-0447-0451-ED00037,43.24491165,-77.63467095,Central,MONROE,GREECE,MARWOOD RD,6984,9
9302-L0247-0447-0451-ED00039,43.24325737,-77.63432933,Central,MONROE,GREECE,MARWOOD RD,6984,A
9302-L0247-0447-0451-ED00041,43.24580796,-77.63513137,Central,MONROE,GREECE,MARWOOD RD,984,A
9302-L0247-0447-0451-ED00042,43.24256017,-77.63527831,Central,MONROE,GREECE,MARWOOD RD,984,A
9302-L0247-0447-0451-ED00043,43.24296357,-77.63521319,Central,MONROE,GREECE,MARWOOD RD,984,B
9302-L0247-0447-0451-ED00045,43.24618516,-77.63510529,Central,MONROE,GREECE,MARWOOD RD,984,B
9302-L0247-0447-0451-ED00046,43.24656826,-77.63509446,Central,MONROE,GREECE,MARWOOD RD,984,C
9302-L0247-0447-0451-ED00048,43.24329514,-77.63520648,Central,MONROE,GREECE,MARWOOD RD,984,C
9302-L0247-0447-0451-ED00050,43.24695276,-77.63506487,Central,MONROE,GREECE,MARWOOD RD,984,D
9302-L0247-0447-0451-ED00051,43.24369599,-77.63522237,Central,MONROE,GREECE,MARWOOD RD,984,D
9302-L0247-0447-0451-ED00053,43.24733955,-77.63506147,Central,MONROE,GREECE,MARWOOD RD,984,E
9302-L0247-0447-0451-ED00054,43.24407499,-77.63525008,Central,MONROE,GREECE,MARWOOD RD,984,E
9302-L0247-0447-0451-ED00055,43.24744841,-77.63505878,Central,MONROE,GREECE,MARWOOD RD,6984,E1
9302-L0247-0447-0451-ED00056,43.24442625,-77.6352191,Central,MONROE,GREECE,MARWOOD RD,984,F
9302-L0247-0447-0451-ED00058,43.24771554,-77.63504007,Central,MONROE,GREECE,MARWOOD RD,984,F
9302-L0247-0447-0451-ED00059,43.24789717,-77.63506432,Central,MONROE,GREECE,MARWOOD RD,984,F1
9302-L0247-0447-0451-ED00061,43.24811056,-77.63500919,Central,MONROE,GREECE,MARWOOD RD,984,G
9302-L0247-0447-0451-ED00062,43.2448554,-77.63519006,Central,MONROE,GREECE,MARWOOD RD,984,G
9302-L0247-0447-0451-ED00063,43.24524825,-77.63521433,Central,MONROE,GREECE,MARWOOD RD,984,H
9302-L0247-0447-0451-ED00064,43.24847053,-77.63502665,Central,MONROE,GREECE,MARWOOD RD,984,H
9302-L0247-0447-0451-ED00065,43.24887496,-77.63497104,Central,MONROE,GREECE,MARWOOD RD,984,J
9302-L0247-0447-0451-ED00066,43.24931567,-77.63497935,Central,MONROE,GREECE,MARWOOD RD,6984,K
9302-L0247-0447-0451-ED00067,43.24956752,-77.63498204,Central,MONROE,GREECE,MARWOOD RD,984,L
9302-L0247-0447-0451-ED00068,43.2478697,-77.63548435,Central,MONROE,GREECE,MARWOOD RD,984,M
9302-L0247-0447-0451-ED00075,43.25025611,-77.63379486,Central,MONROE,GREECE,MARWOOD RD,6984,F
9302-L0247-0447-0486-ED00001,43.24243494,-77.63592396,Central,MONROE,GREECE,MORROW DR,7445,1
9302-L0247-0447-0486-ED00002,43.2458239,-77.63579026,Central,MONROE,GREECE,MORROW DR,7445,10
9302-L0247-0447-0486-ED00003,43.24618343,-77.63578453,Central,MONROE,GREECE,MORROW DR,7445,11
9302-L0247-0447-0486-ED00004,43.24656065,-77.63577946,Central,MONROE,GREECE,MORROW DR,7445,12
9302-L0247-0447-0486-ED00005,43.24696173,-77.63578897,Central,MONROE,GREECE,MORROW DR,7445,13
9302-L0247-0447-0486-ED00006,43.2473541,-77.6358182,Central,MONROE,GREECE,MORROW DR,7445,14
9302-L0247-0447-0486-ED00009,43.24294112,-77.63595685,Central,MONROE,GREECE,MORROW DR,445,2
9302-L0247-0447-0486-ED00010,43.24329629,-77.63592801,Central,MONROE,GREECE,MORROW DR,7445,3
9302-L0247-0447-0486-ED00011,43.24368313,-77.63594254,Central,MONROE,GREECE,MORROW DR,7445,4
9302-L0247-0447-0486-ED00012,43.24407111,-77.63593814,Central,MONROE,GREECE,MORROW DR,7445,5
9302-L0247-0447-0486-ED00013,43.24446141,-77.63592234,Central,MONROE,GREECE,MORROW DR,7445,6
9302-L0247-0447-0486-ED00014,43.24484979,-77.63591457,Central,MONROE,GREECE,MORROW DR,7445,7
9302-L0247-0447-0486-ED00015,43.2452683,-77.63592877,Central,MONROE,GREECE,MORROW DR,7445,8
9302-L0247-0447-0486-ED00016,43.24581942,-77.63647995,Central,MONROE,GREECE,MORROW DR,445,A
9302-L0247-0447-0486-ED00017,43.24259681,-77.63653133,Central,MONROE,GREECE,MORROW DR,445,A
9302-L0247-0447-0486-ED00019,43.24293261,-77.63648662,Central,MONROE,GREECE,MORROW DR,445,B
9302-L0247-0447-0486-ED00020,43.24619993,-77.63649266,Central,MONROE,GREECE,MORROW DR,445,B
9302-L0247-0447-0486-ED00021,43.24658644,-77.63652933,Central,MONROE,GREECE,MORROW DR,445,C
9302-L0247-0447-0486-ED00022,43.24330945,-77.63649519,Central,MONROE,GREECE,MORROW DR,445,C
9302-L0247-0447-0486-ED00023,43.24369909,-77.6365097,Central,MONROE,GREECE,MORROW DR,445,D
9302-L0247-0447-0486-ED00024,43.24695473,-77.63659514,Central,MONROE,GREECE,MORROW DR,445,D
9302-L0247-0447-0486-ED00025,43.24737175,-77.63636035,Central,MONROE,GREECE,MORROW DR,445,E
9302-L0247-0447-0486-ED00026,43.24412096,-77.63650601,Central,MONROE,GREECE,MORROW DR,445,E
9302-L0247-0447-0486-ED00027,43.24446869,-77.63650779,Central,MONROE,GREECE,MORROW DR,445,F
9302-L0247-0447-0486-ED00028,43.24487621,-77.63649498,Central,MONROE,GREECE,MORROW DR,445,G
9302-L0247-0447-0486-ED00029,43.24523147,-77.63645057,Central,MONROE,GREECE,MORROW DR,445,H
9302-L0247-0447-0486-HH00001,43.24197866,-77.6357927,Central,MONROE,GREECE,MORROW DR,7445,2098.01
9302-L0247-0447-0486-HH00002,43.2425355,-77.63580591,Central,MONROE,GREECE,MORROW DR,7445,2098.03
9302-L0247-0447-0515-ED00003,43.24186378,-77.64164358,Central,MONROE,GREECE,NORTHGATE RD,7786,11
9302-L0247-0447-0595-ED00029,43.24586765,-77.63796086,Central,MONROE,GREECE,RIPPLEWOOD DR,188,A
9302-L0247-0447-0595-ED00030,43.2424819,-77.63835557,Central,MONROE,GREECE,RIPPLEWOOD DR,188,A
9302-L0247-0447-0595-ED00031,43.24617218,-77.63793461,Central,MONROE,GREECE,RIPPLEWOOD DR,188,B
9302-L0247-0447-0595-ED00032,43.24244772,-77.63808276,Central,MONROE,GREECE,RIPPLEWOOD DR,188,B
9302-L0247-0447-0595-ED00033,43.24652409,-77.63794158,Central,MONROE,GREECE,RIPPLEWOOD DR,188,C
9302-L0247-0447-0595-ED00034,43.24284239,-77.63810206,Central,MONROE,GREECE,RIPPLEWOOD DR,188,C
9302-L0247-0447-0595-ED00035,43.24677347,-77.63796656,Central,MONROE,GREECE,RIPPLEWOOD DR,188,D
9302-L0247-0447-0595-ED00036,43.24320667,-77.63809883,Central,MONROE,GREECE,RIPPLEWOOD DR,188,D
9302-L0247-0447-0595-ED00037,43.24708173,-77.63800822,Central,MONROE,GREECE,RIPPLEWOOD DR,188,E
9302-L0247-0447-0595-ED00038,43.24362483,-77.6380783,Central,MONROE,GREECE,RIPPLEWOOD DR,188,E
9302-L0247-0447-0595-ED00039,43.24729078,-77.63809336,Central,MONROE,GREECE,RIPPLEWOOD DR,188,E1
9302-L0247-0447-0595-ED00040,43.24744644,-77.6378121,Central,MONROE,GREECE,RIPPLEWOOD DR,188,F
9302-L0247-0447-0595-ED00041,43.24406565,-77.63807142,Central,MONROE,GREECE,RIPPLEWOOD DR,188,F
9302-L0247-0447-0595-ED00042,43.24440036,-77.63804742,Central,MONROE,GREECE,RIPPLEWOOD DR,188,G
9302-L0247-0447-0595-ED00043,43.24772505,-77.63749526,Central,MONROE,GREECE,RIPPLEWOOD DR,188,G
9302-L0247-0447-0595-ED00044,43.24800859,-77.63711755,Central,MONROE,GREECE,RIPPLEWOOD DR,188,H
9302-L0247-0447-0595-ED00045,43.24465848,-77.6380465,Central,MONROE,GREECE,RIPPLEWOOD DR,188,H
9302-L0247-0447-0595-ED00046,43.24826659,-77.63673659,Central,MONROE,GREECE,RIPPLEWOOD DR,188,J
9302-L0247-0447-0595-ED00047,43.2450045,-77.63805056,Central,MONROE,GREECE,RIPPLEWOOD DR,188,J
9302-L0247-0447-0595-ED00048,43.2485473,-77.63635707,Central,MONROE,GREECE,RIPPLEWOOD DR,188,K
9302-L0247-0447-0595-ED00049,43.24520659,-77.63804587,Central,MONROE,GREECE,RIPPLEWOOD DR,188,K
9302-L0247-0447-0595-ED00050,43.24542882,-77.63803706,Central,MONROE,GREECE,RIPPLEWOOD DR,9188,L
9302-L0247-0447-0595-ED00051,43.24867955,-77.63614802,Central,MONROE,GREECE,RIPPLEWOOD DR,188,L
9302-L0247-0447-0610-ED00018,43.24998133,-77.63380753,Central,MONROE,GREECE,RUMSON RD,9572,15
9302-L0247-0447-0630-ED00010,43.24251661,-77.63966507,Central,MONROE,GREECE,SHADOWBROOK DR,971,A
9302-L0247-0447-0630-ED00011,43.24283186,-77.63963389,Central,MONROE,GREECE,SHADOWBROOK DR,971,B
9302-L0247-0447-0630-ED00012,43.24322707,-77.63958017,Central,MONROE,GREECE,SHADOWBROOK DR,971,C
9302-L0247-0447-0630-ED00013,43.24341717,-77.63955141,Central,MONROE,GREECE,SHADOWBROOK DR,971,D
9302-L0247-0447-0630-ED00014,43.24378923,-77.63952978,Central,MONROE,GREECE,SHADOWBROOK DR,971,E
9302-L0247-0447-0630-ED00015,43.24416787,-77.63950876,Central,MONROE,GREECE,SHADOWBROOK DR,971,F
9302-L0247-0447-0630-ED00016,43.24455597,-77.63949659,Central,MONROE,GREECE,SHADOWBROOK DR,971,G
9302-L0247-0447-0630-ED00017,43.24494134,-77.63948982,Central,MONROE,GREECE,SHADOWBROOK DR,971,H
9302-L0247-0447-0630-ED00018,43.24493776,-77.63920437,Central,MONROE,GREECE,SHADOWBROOK DR,971,J
9302-L0247-0447-0630-ED00019,43.24495164,-77.6397825,Central,MONROE,GREECE,SHADOWBROOK DR,971,K
9302-L0247-0447-0630-HH00001,43.24202992,-77.63892484,Central,MONROE,GREECE,SHADOWBROOK DR,9971,2182.01
9302-L0247-0447-0630-HH00002,43.24243174,-77.63892603,Central,MONROE,GREECE,SHADOWBROOK DR,9971,2182.02
9302-L0247-0447-0647-ED00013,43.24212141,-77.64167786,Central,MONROE,GREECE,SKYCREST DR,10169,19A
9302-L0247-0447-0708-ED00001,43.24248796,-77.64383771,Central,MONROE,GREECE,TANGLEWOOD DR,11170,1
9302-L0247-0447-0708-ED00002,43.24248463,-77.64184182,Central,MONROE,GREECE,TANGLEWOOD DR,11170,1
9302-L0247-0447-0708-ED00003,43.24249399,-77.64338339,Central,MONROE,GREECE,TANGLEWOOD DR,170,13A
9302-L0247-0447-0708-ED00004,43.24251947,-77.64283682,Central,MONROE,GREECE,TANGLEWOOD DR,170,13B
9302-L0247-0447-0708-ED00005,43.24268893,-77.6428567,Central,MONROE,GREECE,TANGLEWOOD DR,170,13B1
9302-L0247-0447-0708-ED00006,43.24247914,-77.64218335,Central,MONROE,GREECE,TANGLEWOOD DR,170,13C
9302-L0247-0447-0708-ED00007,43.24249498,-77.64244268,Central,MONROE,GREECE,TANGLEWOOD DR,170,13D
9302-L0247-0447-0708-ED00008,43.24294772,-77.64237586,Central,MONROE,GREECE,TANGLEWOOD DR,170,13E
9302-L0247-0447-0708-ED00009,43.24214099,-77.64373366,Central,MONROE,GREECE,TANGLEWOOD DR,11170,1A
9302-L0247-0447-0779-ED00001,43.24216846,-77.63063772,Central,MONROE,GREECE,WINDSOR RD,12609,1
9302-L0247-0447-0779-ED00002,43.24518054,-77.63044215,Central,MONROE,GREECE,WINDSOR RD,12609,10
9302-L0247-0447-0779-ED00003,43.24549352,-77.63043185,Central,MONROE,GREECE,WINDSOR RD,12609,11
9302-L0247-0447-0779-ED00004,43.24581756,-77.63040775,Central,MONROE,GREECE,WINDSOR RD,12609,12
9302-L0247-0447-0779-ED00005,43.24614027,-77.63038582,Central,MONROE,GREECE,WINDSOR RD,12609,13
9302-L0247-0447-0779-ED00006,43.24646894,-77.63036897,Central,MONROE,GREECE,WINDSOR RD,12609,14
9302-L0247-0447-0779-ED00007,43.24679784,-77.63035517,Central,MONROE,GREECE,WINDSOR RD,12609,15
9302-L0247-0447-0779-ED00008,43.2471303,-77.6303363,Central,MONROE,GREECE,WINDSOR RD,12609,16
9302-L0247-0447-0779-ED00012,43.24192676,-77.63065362,Central,MONROE,GREECE,WINDSOR RD,12609,1A
9302-L0247-0447-0779-ED00013,43.24244525,-77.63062563,Central,MONROE,GREECE,WINDSOR RD,12609,2
9302-L0247-0447-0779-ED00014,43.24872658,-77.63026805,Central,MONROE,GREECE,WINDSOR RD,12609,20
9302-L0247-0447-0779-ED00024,43.24282783,-77.63060625,Central,MONROE,GREECE,WINDSOR RD,12609,3
9302-L0247-0447-0779-ED00026,43.24321625,-77.63058019,Central,MONROE,GREECE,WINDSOR RD,12609,4
9302-L0247-0447-0779-ED00027,43.24352914,-77.63055701,Central,MONROE,GREECE,WINDSOR RD,12609,5
9302-L0247-0447-0779-ED00028,43.24340244,-77.63070475,Central,MONROE,GREECE,WINDSOR RD,12609,5A
9302-L0247-0447-0779-ED00029,43.24369332,-77.63070409,Central,MONROE,GREECE,WINDSOR RD,12609,5B
9302-L0247-0447-0779-ED00030,43.24386151,-77.63051581,Central,MONROE,GREECE,WINDSOR RD,12609,6
9302-L0247-0447-0779-ED00031,43.2441967,-77.63049839,Central,MONROE,GREECE,WINDSOR RD,12609,7
9302-L0247-0447-0779-ED00032,43.24409857,-77.63068459,Central,MONROE,GREECE,WINDSOR RD,12609,7A
9302-L0247-0447-0779-ED00033,43.24426932,-77.63074722,Central,MONROE,GREECE,WINDSOR RD,12609,7B
9302-L0247-0447-0779-ED00034,43.24452566,-77.6304726,Central,MONROE,GREECE,WINDSOR RD,12609,8
9302-L0247-0447-0779-ED00035,43.24486096,-77.63045748,Central,MONROE,GREECE,WINDSOR RD,12609,9
9302-L0247-0447-0779-ED00036,43.24481583,-77.63087558,Central,MONROE,GREECE,WINDSOR RD,12609,9A
9302-L0247-0447-0779-ED00037,43.24465244,-77.63325361,Central,MONROE,GREECE,WINDSOR RD,609,A
9302-L0247-0447-0779-ED00041,43.24228612,-77.63133361,Central,MONROE,GREECE,WINDSOR RD,609,C
9302-L0247-0447-0779-ED00044,43.24258476,-77.63132232,Central,MONROE,GREECE,WINDSOR RD,609,D
9302-L0247-0447-0779-ED00047,43.2428302,-77.63131608,Central,MONROE,GREECE,WINDSOR RD,609,E
9302-L0247-0447-0779-ED00053,43.24209674,-77.63178551,Central,MONROE,GREECE,WINDSOR RD,609,F
9302-L0247-0447-0779-ED00064,43.24456292,-77.63228647,Central,MONROE,GREECE,WINDSOR RD,12609,J
9302-L0247-0447-0779-ED00068,43.24468389,-77.63284823,Central,MONROE,GREECE,WINDSOR RD,12609,L
9302-L0247-0447-0779-ED00071,43.24473059,-77.63253007,Central,MONROE,GREECE,WINDSOR RD,12609,M
9302-L0247-0447-0779-ED00072,43.24362468,-77.63307755,Central,MONROE,GREECE,WINDSOR RD,12609,N
9302-L0247-0447-0779-ED00074,43.24361672,-77.63258124,Central,MONROE,GREECE,WINDSOR RD,12609,O
9302-L0248-0447-0186-ED00061,43.24206377,-77.645948,Central,MONROE,GREECE,DENISE RD,2955,36B
9302-L0248-0447-0186-ED00062,43.2419724,-77.64613816,Central,MONROE,GREECE,DENISE RD,2955,37A
9302-L0248-0447-0186-ED00075,43.24206774,-77.64661508,Central,MONROE,GREECE,DENISE RD,2955,80
9302-L0248-0447-0186-ED00076,43.24206367,-77.64630524,Central,MONROE,GREECE,DENISE RD,2955,81
9302-L0248-0447-0186-ED00077,43.24226011,-77.64626677,Central,MONROE,GREECE,DENISE RD,2955,81A
9302-L0248-0447-0406-ED00008,43.24216425,-77.64609089,Central,MONROE,GREECE,LAWSON RD,192,11F
9302-L0248-0447-0406-ED00009,43.24252223,-77.6461087,Central,MONROE,GREECE,LAWSON RD,192,11G
9302-L0249-0447-0186-MH00098,43.2419564,-77.64611375,Central,MONROE,GREECE,DENISE RD,2955,1375.48
9302-L0249-0447-0186-MH00099,43.24206725,-77.6461274,Central,MONROE,GREECE,DENISE RD,2955,1375.48 1/16
9302-L0250-0447-0003-ED00025,43.24513676,-77.6436505,Central,MONROE,GREECE,ADELINE RD,41,24A
9302-L0250-0447-0003-ED00026,43.24527386,-77.64385703,Central,MONROE,GREECE,ADELINE RD,41,25
9302-L0250-0447-0003-ED00027,43.24527777,-77.64432544,Central,MONROE,GREECE,ADELINE RD,41,26
9302-L0250-0447-0003-ED00028,43.24526892,-77.64493917,Central,MONROE,GREECE,ADELINE RD,41,27
9302-L0250-0447-0003-ED00040,43.24490912,-77.64365294,Central,MONROE,GREECE,ADELINE RD,41,A
